tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,1991,01,01,00,03,6.4,0.1, 36,40.3,0.7, 139,28.5,0.7,9.8,2.3,1,V,0, ,1,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,   ,K
J,1991,01,01,00,13,37.3,0.4, 33,51.2,3, 138,46.8,2.8,283,0,3,V,0, ,1,2,1, , , ,3,103,NEAR NIIJIMA ISLAND     ,   ,K
J,1991,01,01,00,33,24,0.6, 36,13.5,1.9, 141,0.5,3.5,46,0,1.8,V,0, ,1,2,1, , , ,3,111,E OFF IBARAKI PREF      ,   ,K
J,1991,01,01,01,44,58.1,0.2, 34,52.7,0.8, 137,57.9,0.8,34.7,2.2,1.6,V,0, ,1,1,1, , , ,4,158,SW SHIZUOKA PREF        ,   ,K
J,1991,01,01,01,47,54.5,0.5, 36,48.6,4, 140,29,3,94,0,0, ,0, ,1,7,2, , , ,2, 55,MID FUKUSHIMA PREF      ,   ,S
J,1991,01,01,02,00,16.9,0.2, 34,55.3,1, 136,53.8,0.9,9,0,1.8,V,0, ,1,2,1, , , ,4,162,MIKAWA BAY REGION       ,   ,K
J,1991,01,01,02,07,13.1,0.5, 34,22.3,2.4, 140,44.2,1.6,36,0,2.2,V,0, ,1,2,1, , , ,3,106,FAR S OFF BOSO PENINSULA,   ,K
U,1991,01,01,02,56,59.2,0,  0,54.5,0, 126,41.9,0,33,0,5.3,B,0, , , , , , , ,9,   ,MOLUCCA PASSAGE         ,   , 
J,1991,01,01,03,13,41.1,0.7, 36,59.9,3.1, 142,10.7,3.2,67,0,2.3,V,0, ,1,2,1, , , ,2, 69,E OFF FUKUSHIMA PREF    ,   ,K
J,1991,01,01,03,27,19.5,0.5, 33,32.7,1.3, 141,7.3,2.3,60,0,2.7,V,0, ,1,2,1, , , ,8,330,E OFF HACHIJOJIMA ISLAND,   ,K
J,1991,01,01,03,49,53.4,0.2, 35,20.7,0.7, 140,21.1,1,33.1,2.4,2.8,V,0, ,1,1,1, , , ,3, 94,KUJUKURI COAST BOSO PEN ,   ,K
J,1991,01,01,05,26,57.7,0.2, 23,55.7,0.5, 125,57.6,0.9,0,0,2.8,V,0, ,1,2,1, , , ,7,293,NEAR MIYAKOJIMA ISLAND  ,   ,K
J,1991,01,01,05,33,5.7,0.7, 24,11.1,3.7, 126,13.4,2.3,94,0,3.2,V,0, ,1,2,1, , , ,7,293,NEAR MIYAKOJIMA ISLAND  ,   ,K
J,1991,01,01,06,11,26.7,0.1, 32,51.6,0.9, 130,10.2,0.6,11.2,3.1,1.3,V,0, ,1,1,1, , , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1991,01,01,06,12,25.5,0.1, 35,40.2,0.4, 136,21.5,0.6,14.2,3.1,1.3,V,0, ,1,1,1, , , ,5,197,SHIGA GIFU BORDER REGION,   ,K
J,1991,01,01,06,15,0.1,0.2, 37,14.7,0.6, 138,34.6,0.6,15.2,3.2,3,V,0, ,1,1,1, , , ,4,132,MID NIIGATA PREF        ,   ,K
J,1991,01,01,07,00,20.1,0.5, 30,22.9,1.6, 131,26.3,1.4,0,0,2.7,V,0, ,1,2,1, , , ,7,297,E OFF TANEGASHIMA ISLAND,   ,K
U,1991,01,01,07,11,33.4,0,-21,59.4,0, 174,56.9,0,33,0,5.4,B,4.9,S, , , , , , ,9,   ,VANUATU REGION          ,   , 
J,1991,01,01,07,51,7.2,0.2, 42,55.7,1.8, 143,15.2,2.4,121,0,2.9,V,0, ,1,2,1, , , ,1,  9,TOKACHI REGION          ,   ,K
J,1991,01,01,07,51,16.3,0.5, 32,38.1,2.8, 138,19.6,3.6,423,0,2.9,V,0, ,1,2,1, , , ,4,171,FAR S OFF TOKAI DISTRICT,   ,K
J,1991,01,01,08,02,30.4,0.3, 37,13.9,0.9, 138,33.9,0.9,8.3,4.7,0, ,0, ,1,1,1, , , ,4,132,MID NIIGATA PREF        ,   ,K
J,1991,01,01,08,38,17.4,0.3, 35,23.3,0.9, 140,24.8,1.4,42.6,3.1,1.2,V,0, ,1,1,1, , , ,3, 94,KUJUKURI COAST BOSO PEN ,   ,K
J,1991,01,01,09,30,48.4,0.1, 32,43.6,0.5, 130,10.3,0.3,12.6,1.1,1.1,V,0, ,1,1,1, , , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1991,01,01,09,46,10,0.8, 36,24,3.1, 140,53.6,4.2,43,0,1.5,V,0, ,1,2,1, , , ,3,111,E OFF IBARAKI PREF      ,   ,K
J,1991,01,01,10,40,22.3,0.4, 34,33.6,1.5, 140,11,1,119.6,3.1,1.6,V,0, ,1,1,1, , , ,3,108,SE OFF BOSO PENINSULA   ,   ,K
J,1991,01,01,12,03,35.4,0.2, 35,9.5,0.7, 139,51.2,0.7,42,2.2,1.2,V,0, ,1,1,1, , , ,3, 95,SOUTHERN BOSO PENINSULA ,   ,K
J,1991,01,01,12,36,6.4,0.3, 33,43.5,1, 140,36.7,1.3,52,0,2,V,0, ,1,2,1, , , ,8,330,E OFF HACHIJOJIMA ISLAND,   ,K
J,1991,01,01,12,48,1.8,0.4, 34,28.8,1.1, 140,48,1.8,35.7,3.9,0.8,V,0, ,1,1,1, , , ,3,106,FAR S OFF BOSO PENINSULA,   ,K
J,1991,01,01,13,50,16.6,0.2, 29,25,1, 139,54.9,2.2,396,0,3.6,V,0, ,1,2,1, , , ,8,331,NEAR TORISHIMA IS       ,   ,K
J,1991,01,01,13,55,29.1,0.1, 36,41.3,0.5, 139,18.9,0.4,13.4,1.6,1.3,V,0, ,1,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,   ,K
J,1991,01,01,14,13,50.5,0.2, 37,26.6,0.6, 139,48.5,1.1,150.6,2.4,2.8,V,0, ,1,1,1, , , ,2, 54,WESTERN FUKUSHIMA PREF  ,   ,K
J,1991,01,01,14,26,48.6,0.7, 35,19.5,1.2, 141,18.8,4,27,0,1.3,V,0, ,1,2,1, , , ,3,109,E OFF BOSO PENINSULA    ,   ,K
J,1991,01,01,15,46,14.3,0.1, 36,36.7,0.6, 139,25.1,0.5,14.3,1.7,2,V,0, ,1,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,   ,K
J,1991,01,01,15,49,9.4,0.3, 36,13.4,1.1, 140,38,1.4,52,2.9,1.5,V,0, ,1,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   ,   ,K
J,1991,01,01,15,50,13.1,0.1, 36,36.4,0.5, 139,26.2,0.5,11.8,1.4,1.3,V,0, ,1,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,   ,K
J,1991,01,01,16,21,55.1,0.7, 41,28.5,3.3, 141,7.1,3.3,97,0,2,V,0, ,1,2,1, , , ,1, 17,TSUGARU STRAIT REGION   ,   ,K
J,1991,01,01,16,31,59.5,0.4, 40,52.7,1.6, 143,17.7,2.2,6,0,3,V,0, ,2,2,1, , , ,2, 60,E OFF AOMORI PREF       ,   ,K
J,1991,01,01,17,29,55.2,0.2, 35,44.9,0.8, 139,35.6,1.3,29.8,3.9,1.9,V,0, ,1,1,1, , , ,3, 91,TOKYO PREF              ,   ,K
J,1991,01,01,18,27,22.4,0.2, 40,14.4,0.6, 141,19.2,0.9,10.6,4.2,1.9,V,0, ,1,1,1, , , ,2, 48,NORTHERN IWATE PREF     ,   ,K
J,1991,01,01,19,42,39.5,0.4, 39,13.3,1.1, 142,13,1.9,83.7,2.5,1.6,V,0, ,1,1,1, , , ,2, 62,E OFF IWATE PREF        ,   ,K
U,1991,01,01,19,42,53.2,0, 22,34,0, 144,31.8,0,33,0,5,B,4.6,S, , , , , , ,8,   ,VOLCANO ISLANDS REGION  ,   , 
J,1991,01,01,19,58,14,0.1, 32,45,0.6, 130,12.2,0.6,8.6,1.8,1.8,V,0, ,1,1,1, , , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1991,01,01,20,05,31.5,0.3, 37,3.9,0.9, 140,19.1,1.2,80.5,2.7,1.5,V,0, ,1,1,1, , , ,2, 55,MID FUKUSHIMA PREF      ,   ,K
J,1991,01,01,20,20,15.6,0.5, 38,12.2,2.1, 140,1.1,1.9,12,3.7,1.7,V,0, ,1,1,1, , , ,2, 53,SOUTHERN YAMAGATA PREF  ,   ,K
J,1991,01,01,20,42,42.4,0.2, 42,39.6,1, 143,32.4,0.9,75.9,2.7,3.2,V,0, ,1,1,1, , , ,1,  9,TOKACHI REGION          ,   ,K
J,1991,01,01,21,06,30.5,0.3, 36,28.8,0.6, 141,11.6,1.6,39.6,3.3,4.4,J,4.3,V,1,1,1,2, , ,3,111,E OFF IBARAKI PREF      ,   ,K
