depth,magnitude_a,timestamp,latitude,longitude
388,7,441795821,33.6233,136.8383
43,5.6,443186020,36.4517,141.2433
43,5.9,443201516,36.4483,141.2633
87,5.6,443691296,29.1417,130.6533
70,5.1,443871305,42.24,143.1633
532,6.4,444468507,48.7667,147.865
67,5.5,445290563,34.05,135.7183
93,5.3,445391758,29.2667,130.425
0,5.1,445426026,38.5683,143.47
275,5.2,445495738,25.2217,122.6467
114,5.2,445513224,34.1917,140.1817
25,5.4,445539180,35.5883,139.1033
350,5.4,445786911,34.105,137.21
40,5.1,446669879,40.6233,144.0667
50,5.2,447170651,43.33,146.19
466,5.6,447332460,28.7383,139.6983
452,7.6,447387440,29.3433,139.2017
118,5.7,447432915,42.5333,142.9233
16,5,447525760,40.4,139.0883
442,5.3,447725503,30.1383,139.265
371,5.3,447891746,38.325,135.7183
38,5.3,448245950,36.7167,141.59
49,5.4,448305046,42.9217,145.465
58,5.1,448513491,25.4067,128.2583
60,5.1,448529642,44.5233,149.8067
58,5,448547519,34.8517,143.4067
42,5.2,448598846,32.7267,135.875
53,5.2,448685471,41.98,143.755
40,6.8,448969435,44.3883,148.9017
0,5.3,448973348,43.885,148.66
50,5.2,448974529,44.2717,148.8433
50,5.4,448980724,44.2633,149.2983
50,5.1,449000538,44.0633,148.9733
42,5.3,449089172,37.3233,141.6733
10,5,449165992,43.71,148.37
50,5.2,449242010,44.19,149.4883
9,5.7,449313080,23.9383,122.8083
40,5,449315042,44.115,148.1167
60,5,449429617,44.12,148.7933
43,5.1,449745057,36.4667,141.2417
0,5.6,449761769,45.1317,149.5283
20,5,449784280,46.5067,141.3283
0,5.5,449793713,44.9883,149.6317
189,5.3,450061743,35.12,138.5833
43,5,450267680,36.44,141.215
4,5.3,451193794,40.27,142.9433
401,6.3,451604434,47.0667,147.485
407,6.2,451627887,30.87,138.8367
25,5.1,451896160,36.6783,142.2217
46,5.3,452222149,37.495,141.63
38,5.1,454378791,33.3567,140.58
10,5.1,454440012,28.77,128.7267
1,6.1,454477170,28.7367,128.5933
17,5.6,454725584,34.9633,134.59
16,5.1,454726974,34.945,134.62
60,5.4,454738405,44.4233,149.2317
20,5.3,454939965,43.79,147.5417
29,5,455599667,41.24,139.0433
55,5,455879227,25.9733,128.5817
0,5.9,455941759,31.4417,139.7883
103,5.3,456687003,42.6083,142.4817
12,5.3,456960559,34.76,132.5833
62,5.3,457149910,41.4867,141.9567
30,5,457323912,40.1217,144.5767
61,5.1,457379126,36.1483,139.8583
5,5.4,457475227,30.3933,132.2017
2,5.3,457475246,30.475,132.21
54,5,458364010,36.7983,144.2983
49,5.9,459127512,28.0683,129.6
6,5,460628893,32.7617,130.165
7,5.7,460629005,32.76,130.1767
11,5,460629490,32.7917,130.16
33,7.1,460667198,32.3833,132.1533
53,5.4,461013960,30.0067,131.37
40,5,461055755,31.2333,132.0367
13,5.5,461356212,31.5467,130.0633
53,5,461470851,33.7317,141.1383
432,5.4,461857757,30.8883,138.8267
76,5.8,462567869,27.3183,128.775
60,5.3,462891066,44.4833,149.815
50,5.3,462997641,26.51,129.9283
0,5.2,463047444,31.4167,142.1133
43,5.1,463124740,40.6583,139.2167
0,5.2,463202770,39.8067,143.8467
28,5.1,463702039,31.495,131.9283
2,6.8,463967329,35.825,137.5567
8,5.1,463967850,35.84,137.59
8,5.2,463981784,35.8083,137.495
6,6.2,464048072,35.7883,137.4667
9,5.6,464049550,35.7867,137.485
10,5.2,464054745,35.7983,137.5033
13,6.6,464374961,34.055,141.5483
18,5.5,464404853,34.0417,141.5167
5,5.8,464547382,34.1183,141.5183
28,5.7,464565232,34.0267,141.715
1,5.1,464570073,34.15,141.4633
22,5.7,464606991,34.0717,141.525
33,5.2,464828945,40.1217,142.4683
10,5.1,465074808,44.2217,147.7533
73,5.1,465470848,35.5567,140.5017
49,5.6,465540148,26.03,128.665
5,5.4,465610337,35.8283,137.615
435,5.3,466163607,29.9417,139.1267
512,5.5,466983759,28.1033,139.605
53,5.3,467535476,37.28,141.67
47,5.4,467723508,37.7183,141.88
19,5,469133259,40.08,142.9083
440,5.6,469564032,28.3583,140.275
44,5,469741536,37.1017,141.6167
3,5,470234139,37.6067,142.6067
50,6.3,470894915,43.9183,148.1817
0,5.2,471609435,44.1133,147.7517
50,5.5,472165765,44.39,149.3967
40,5.9,472174220,44.44,149.5783
50,6,472175815,44.32,149.605
60,5.3,472189329,44.3183,149.4867
19,5.1,472191542,40.3917,139.15
60,5,472213756,44.215,149.5133
60,5,472213934,44.25,149.3883
